org,repo,activity,comments,prs,commits,issues,authors,project,url
opennetworkinglab,onos,3100,18,33,3049,0,195,ONOS,onosproject.org
zephyrproject-rtos,zephyr+zephyr-testing+ci-pipelines+ci-management+meta-zephyr-sdk+net-tools+ci-dockerfiles+docs-theme+ci-job-configs+ci-test+project-docs+sdk-ng+ci-ansible-deployment+zephyr-arm+openocd+infrastructure+heartrate-monitor,10414,2283,2719,5329,83,190,Zephyr Project,www.zephyrproject.org
fluent,fluentd+fluent-bit+fluent-plugin-kafka+fluentd-docker-image+fluentd-docs+fluent-plugin-s3+fluentd-kubernetes-daemonset+fluentd-website+fluent-bit-docs+fluent-logger-node+fluent-logger-python+fluent-logger-ruby+fluent-plugin-webhdfs+fluent-logger-golang+fluent-plugin-grok-parser+fluent-plugin-mongo+fluent-bit-kubernetes-daemonset+kafka-connect-fluentd+fluent-logger-perl+fluent-plugin-rewrite-tag-filter+fluent-plugin-sql+fluent-bit-docker-image+fluent-plugin-windows-eventlog+fluentd-ui+fluent-bit-go+fluent-logger-scala+fluent-plugin-flume+fluent-logger-java+serverengine+fluentd-forwarder+fluent-plugin-multiprocess+fluent-logger-php+NLog.Targets.Fluentd+fluent-bit-packaging+fluentd-benchmark+nginx-fluentd-module+fluent-bit-docker+data-collection+fluent-plugin-scribe+fluentd-docs-kubernetes,8925,4016,1403,2388,1118,156,Fluentd,fluentd.org
openvswitch,ovs+ovn-kubernetes+openvswitch.github.io+ovn-scale-test+ovs-issues+of-config,3078,625,345,1999,109,154,Open vSwitch,openvswitch.org
iotivity,iotivity+iotivity-constrained+ci-management+iotivity-alljoyn-bridge+iotivity-upnp-bridge+iotivity-node,3703,32,21,3632,18,154,IoTivity,www.iotivity.org
opencontainers,image-spec+runc+runtime-spec+runtime-tools+image-tools+go-digest+tob+project-template+certification+selinux+ocitools+go-selinux+web+runc.io,16540,11497,3127,1166,750,120,Open Container Initiative,www.opencontainers.org
iovisor,bcc+gobpf+ply+iovisor-ovn+ubpf+iomodules+xdp-vagrant+hoverui+bpf-docs+libiov,4496,2426,1013,604,453,117,IO Visor Project,www.iovisor.org
open-switch,opx-cps+opx-docs+ops-build+opx-build+opx-platform-config+opx-base-model+ops-aaa-utils+infra_project-config+opx-nas-interface+opx-nas-daemon+opx-nas-ndi+opx-pas+opx-nas-linux+opx-sdi-device-drivers+opx-sai-common+ops+opx-sdi-sys-vm+opx-nas-common+opx-common-utils+opx-sdi-sys+opx-nas-l3+opx-tmpctl+opx-nas-acl+opx-logging+opx-nas-qos+opx-onie-installer+opx-sdi-framework+opx-db-sql+opx-nas-l2+opx-sai-common-utils+infra_website+opx-sai-vm+ops-cli+opx-sai-api+opx-nas-platform-vm+opx-sdi-api+opx-test+opx-nas-platform-s6000+infra_system-config+opx-flxcps+opx-manifest+ops-quagga+flx-docs+opx-flxreltools+opx-nas-ndi-api+ops-switchd+ops-classifierd+ops-utils+ops-switchd-opennsl-plugin+ops-switchd-p4switch-plugin+opx-flxutils+opx-core+ops-docs+ops-hw-config+ops-intfd+ops-supportability+ops-ipapps+infra_jeepyb+ops-restd+opx-flxconfig+opx-flxmodels+SAI+ops-switchd-container-plugin+ops-sysd+infra_commit-validation+ops-snmpd+ops-checkmk-agent+opx-quagga+opx-flxl2+ops-portd+ovs+opx-flxinfra+ops-switchd-xpliant-plugin+ops-rbac+ops-stpd+opx-flxSdk+opx-flxasicdstub+opx-flxl3+ops-webui+opx-mlnx-sdi-sys+ops-lacpd+ops-switchd-fpa-plugin+opx-nas-ndi-sai-1.0+ops-arpmgrd+ops-openbfdd+ops-vsi+ops-powerd+ops-cfgd+ops-ntpd+ops-fand+ops-openvswitch+ops-switchd-sai-plugin+ops-ansible+ops-mgmt-intf+ops-l2macd,2429,117,1017,1273,22,114,OpenSwitch,www.openswitch.net
opentracing,opentracing-java+specification+opentracing.io+opentracing-go+opentracing-javascript+opentracing-csharp+opentracing.github.io+opentracing-cpp+opentracing-php+opentracing-python+opentracing-ruby+basictracer-go+opentracing-objc+contrib+basictracer-python+basictracer-csharp+basictracer-javascript,4185,2570,591,646,378,79,OpenTracing,opentracing.io
letsencrypt,boulder+website+pebble+acme-spec+pkcs11key+cp-cps+www_valid_revoked_expired+go-safe-browsing-api,5450,1623,1401,1597,829,73,Let's Encrypt,letsencrypt.org
containerd,containerd,4676,2665,1144,499,368,58,containerd,containerd.io
rethinkdb,rethinkdb+horizon+docs+logstash-input-rethinkdb+rethinkdb-dockerfiles+horizon-docs+example-pubsub+rethinkdb-example-nodejs-chat+rethinkdb-example-nodejs+aspnet-signalr-chat+rails-nobrainer-blog+rethinkdb-nix+elasticsearch-river-rethinkdb+freight,3686,2503,264,256,663,56,RethinkDB,www.rethinkdb.com
linkerd,linkerd+linkerd-tcp+linkerd-examples+tacho+linkerd-viz+linkerd-zipkin+linkerd-inject+namerctl+rustup-nightly-docker,4774,1650,919,1484,721,49,Linkerd,linkerd.io
OAI,OpenAPI-Specification+Gluecon-Workshop+OpenAPI-Style-Guide,3717,2094,634,463,526,48,Open API Initiative,www.openapis.org
Samsung,TizenRT,1949,484,869,539,57,47,Tizen,www.tizen.org
containernetworking,cni,1484,953,297,107,127,45,CNI,github.com/containernetworking
JanusGraph,janusgraph,2430,1425,420,195,390,34,JanusGraph,janusgraph.org
spdx,license-list-XML+tools-python+spdx-github+tools+spdx-online-tools+spdx-spec+license-list+license-coverage-grader+license-list-data+tools-go+licensegenplugin,1655,510,406,588,151,30,Software Package Data Exchange,spdx.org
rkt,rkt,1000,671,138,55,136,27,rkt,github.com/rkt/rkt
todogroup,repolinter+todogroup.github.io+charter+gh-issues+awesome-oss-mgmt+opencodeofconduct+job-descriptions+project-metadata+policies+guidance,429,120,100,147,62,27,TODO group,todogroup.org
automotive-grade-linux,docs-agl,647,43,141,453,10,23,Automotive Grade Linux,www.automotivelinux.org
odpi,bigtop+specs+self-certification-reports+security-guide+ambari+sig-reports,385,74,186,125,0,21,ODPi,www.odpi.org
OpenMAMA,OpenMAMA+openmama.github.io,528,192,133,129,74,20,OpenMAMA,www.openmama.org
fossology,fossology,1585,898,254,171,262,19,FOSSology,www.fossology.org
openhpc,ohpc+submissions,3005,448,136,1982,439,19,OpenHPC,openhpc.community
"",brunopulis/awesome-a11y,125,13,48,62,2,19,Open Accessibility (A11y) Group,onosproject.org
opencord,cord,289,4,2,280,3,18,CORD,opencord.org
pndaproject,platform-salt+pnda+pnda-guide+pnda-aws-templates+pnda-heat-templates+platform-testing+platform-console-frontend+red-pnda+platform-deployment-manager+gobblin+example-applications+platform-console-backend+pnda-dib-elements+platform-data-mgmnt+platform-libraries+logstash-codec-pnda-avro+platform-package-repository+magent+platform-tools,1771,45,619,1090,17,17,PNDA,pnda.io
cip-project,linux-cip+cip-kernelci+board-at-desk-single-dev+cip-kernel-sec+kernelci-frontend+kernelci-backend,39,3,2,34,0,16,Civil Infrastructure Platform,www.cip-project.org
opensecuritycontroller,osc-core+osc-ci-config+community+sdn-controller-nsc-plugin+sdn-controller-api+security-mgr-sample-plugin+opensecuritycontroller.org+security-mgr-api+osc-nuage-plugin,682,140,202,266,74,14,Open Security Controller,opensecuritycontroller
fdio-stack,netplugin+felix,97,2,11,84,0,13,FD.io,fd.io
opensds,opensds+nbp+tsc+arch-wg+community+k8s_nvmeof_poc+storage-sdk+opensds-api-specs+proposals+sdscontroller_proto,297,57,98,121,21,13,OpenSDS,www.opensds.io
Kinetic,kinetic-cpp-client+kinetic-js+kinetic-go+kinetic-java+kinetic-protocol+kinetic-c,213,33,77,85,18,11,Kinetic Open Storage,www.openkinetic.org
coreinfrastructure,best-practices-badge+cii-best-practices-badge,809,330,136,252,91,9,Core Infrastructure Initiative,www.coreinfrastructure.org
cncf,cross-cloud,530,84,51,303,92,9,Cloud Native Computing Foundation,Cloud Native Computing Foundation
JSFoundation,js.foundation+TAC+standards+cla-assistant,206,78,47,47,34,8,JS Foundation,js.foundation
Dronecode,Dronecode-Website-Issues+UX-Design+sitl_gazebo+_Repository-List+Technical-Steering-Committee+Vagrant,419,155,12,178,74,8,Dronecode,www.dronecode.org
openmainframeproject,ade+atompkg-language-zvm-rexx+immunichain+atompkg-language-zvm-names+atompkg-language-zvm-gml,160,11,56,90,3,5,Open Mainframe Project,www.openmainframeproject.org
SNAS,website,130,18,55,32,25,5,SNAS.io,www.snas.io
obrienlabs,onap-root,6,0,0,5,1,3,Open Network Automation Platform,www.onap.org
LinuxStandardBase,lsb+lanana+download-app,21,13,6,2,0,3,Linux Standard Base,LinuxStandardBase
"",joeythesaint/cgl-specification,6,2,1,3,0,3,Carrier Grade Linux,wiki.linuxfoundation.org/cgl/start
ni,linux,5,0,0,5,0,2,ni,""
openchain,openchain+docker+mongodb-storage+openchain-js+wallet+docs+sidechain,114,63,5,8,38,2,openchain,""
"",cregit/cregit,21,0,1,18,2,2,cregit/cregit,""
iotivity,iotivity-xmpp,1,0,1,0,0,1,iotivity,""
RConsortium,wishlist,65,50,0,0,15,1,RConsortium,""
xen-project,xen,9,0,9,0,0,1,xen-project,""
open-switch,governance,2,0,0,2,0,1,open-switch,""
